Zipcode,NaicsCode,Establishments,Employees,Payroll
32003,00,642,6827,222561
32003,42,20,0,0
32003,81,60,0,0
32003,56,37,0,0
32003,61,20,0,0
32003,71,13,0,0
32003,72,54,0,0
32003,51,10,0,0
32003,52,35,0,0
32003,23,53,0,0
32003,62,102,0,0
32003,53,60,0,0
32003,54,96,0,0
32004,00,30,192,4996
32004,42,3,0,0
32004,56,3,0,0
32004,54,4,0,0
32006,00,11,622,3060
32006,72,4,0,0
32007,00,10,131,3973
32007,23,4,0,0
32008,00,94,719,24000
32008,42,6,0,0
32008,81,13,0,0
32008,56,7,0,0
32008,72,7,0,0
32008,11,6,0,0
32008,23,14,0,0
32008,62,7,0,0
32008,54,5,0,0
32009,00,32,85,2181
32009,81,7,0,0
32009,56,8,0,0
32009,23,9,0,0
32009,54,3,0,0
32011,00,228,1657,48301
32011,42,9,0,0
32011,81,34,0,0
32011,56,18,0,0
32011,71,6,0,0
32011,72,20,0,0
32011,52,14,0,0
32011,23,37,0,0
32011,62,14,0,0
32011,53,8,0,0
32011,54,18,0,0
32024,00,213,1817,54282
32024,42,13,0,0
32024,81,18,0,0
32024,56,12,0,0
32024,61,5,0,0
32024,72,19,0,0
32024,52,5,0,0
32024,11,5,0,0
32024,23,42,0,0
32024,62,13,0,0
32024,53,10,0,0
32024,54,18,0,0
32025,00,462,6274,296006
32025,42,24,0,0
32025,81,49,0,0
32025,56,19,0,0
32025,61,8,0,0
32025,71,5,0,0
32025,72,28,0,0
32025,51,10,0,0
32025,52,19,0,0
32025,11,3,0,0
32025,23,42,0,0
32025,62,98,0,0
32025,53,18,0,0
32025,54,44,0,0
32025,55,5,0,0
32033,00,56,565,17550
32033,42,3,0,0
32033,81,3,0,0
32033,56,9,0,0
32033,23,15,0,0
32033,62,4,0,0
32033,54,4,0,0
32034,00,1080,11263,439838
32034,42,29,0,0
32034,81,87,0,0
32034,56,63,0,0
32034,61,13,0,0
32034,71,31,0,0
32034,72,108,0,0
32034,51,12,0,0
32034,52,54,0,0
32034,11,4,0,0
32034,22,4,0,0
32034,23,94,0,0
32034,62,132,0,0
32034,53,87,0,0
32034,54,156,0,0
32034,55,5,0,0
32035,00,22,165,6143
32035,81,5,0,0
32035,53,4,0,0
32038,00,73,290,7479
32038,42,3,0,0
32038,81,9,0,0
32038,56,4,0,0
32038,72,3,0,0
32038,23,15,0,0
32038,62,4,0,0
32038,54,7,0,0
32040,00,78,342,8364
32040,42,3,0,0
32040,81,9,0,0
32040,56,8,0,0
32040,23,26,0,0
32040,62,3,0,0
32041,00,11,43,1227
32041,81,6,0,0
32041,53,3,0,0
32042,00,3,2,167
32043,00,520,4785,204184
32043,42,22,0,0
32043,81,53,0,0
32043,56,32,0,0
32043,61,8,0,0
32043,71,8,0,0
32043,72,18,0,0
32043,51,8,0,0
32043,52,25,0,0
32043,23,104,0,0
32043,62,31,0,0
32043,53,22,0,0
32043,54,76,0,0
32043,55,4,0,0
32044,00,18,74,2269
32044,81,3,0,0
32044,56,5,0,0
32046,00,161,978,30441
32046,81,21,0,0
32046,56,8,0,0
32046,72,9,0,0
32046,52,5,0,0
32046,11,17,0,0
32046,23,34,0,0
32046,62,11,0,0
32046,54,12,0,0
32050,00,14,96,4532
32052,00,103,871,21962
32052,81,10,0,0
32052,56,3,0,0
32052,72,9,0,0
32052,52,5,0,0
32052,23,6,0,0
32052,62,14,0,0
32052,53,4,0,0
32052,54,8,0,0
32053,00,39,187,4786
32053,81,5,0,0
32053,23,7,0,0
32053,62,5,0,0
32053,54,3,0,0
32054,00,118,1492,56818
32054,42,5,0,0
32054,81,12,0,0
32054,56,8,0,0
32054,72,5,0,0
32054,52,4,0,0
32054,11,3,0,0
32054,23,22,0,0
32054,62,10,0,0
32054,53,5,0,0
32054,54,4,0,0
32055,00,579,9289,316247
32055,42,33,0,0
32055,81,47,0,0
32055,56,15,0,0
32055,71,8,0,0
32055,72,81,0,0
32055,51,9,0,0
32055,52,35,0,0
32055,11,3,0,0
32055,23,40,0,0
32055,62,69,0,0
32055,53,19,0,0
32055,54,37,0,0
32056,00,28,1245,54210
32056,81,5,0,0
32056,23,4,0,0
32058,00,33,231,6091
32058,81,5,0,0
32058,72,3,0,0
32058,11,3,0,0
32058,23,4,0,0
32059,00,28,340,15425
32059,81,8,0,0
32060,00,238,4759,149697
32060,42,9,0,0
32060,81,20,0,0
32060,56,15,0,0
32060,72,19,0,0
32060,51,4,0,0
32060,52,10,0,0
32060,11,4,0,0
32060,22,5,0,0
32060,23,37,0,0
32060,62,18,0,0
32060,53,12,0,0
32060,54,14,0,0
32060,55,3,0,0
32062,00,19,104,2497
32062,42,3,0,0
32062,11,3,0,0
32062,23,3,0,0
32063,00,273,3936,123382
32063,42,8,0,0
32063,81,38,0,0
32063,56,10,0,0
32063,71,4,0,0
32063,72,32,0,0
32063,51,8,0,0
32063,52,18,0,0
32063,23,26,0,0
32063,62,33,0,0
32063,53,3,0,0
32063,54,16,0,0
32064,00,256,2088,60399
32064,42,9,0,0
32064,81,33,0,0
32064,56,5,0,0
32064,71,4,0,0
32064,72,23,0,0
32064,51,7,0,0
32064,52,10,0,0
32064,23,10,0,0
32064,62,39,0,0
32064,53,12,0,0
32064,54,22,0,0
32065,00,511,4951,159330
32065,42,12,0,0
32065,81,62,0,0
32065,56,41,0,0
32065,61,12,0,0
32065,71,5,0,0
32065,72,29,0,0
32065,51,9,0,0
32065,52,26,0,0
32065,23,73,0,0
32065,62,47,0,0
32065,53,29,0,0
32065,54,43,0,0
32065,55,6,0,0
32066,00,94,628,15307
32066,42,5,0,0
32066,81,14,0,0
32066,56,3,0,0
32066,72,8,0,0
32066,52,5,0,0
32066,23,8,0,0
32066,62,10,0,0
32066,54,7,0,0
32067,00,9,39,971
32068,00,621,4707,147885
32068,42,11,0,0
32068,81,79,0,0
32068,56,42,0,0
32068,61,4,0,0
32068,72,41,0,0
32068,51,4,0,0
32068,52,23,0,0
32068,11,7,0,0
32068,23,145,0,0
32068,62,68,0,0
32068,53,21,0,0
32068,54,48,0,0
32068,55,3,0,0
32071,00,30,118,4337
32071,42,4,0,0
32071,81,6,0,0
32071,23,5,0,0
32071,54,3,0,0
32073,00,1340,20486,754182
32073,42,32,0,0
32073,81,124,0,0
32073,56,70,0,0
32073,61,18,0,0
32073,71,14,0,0
32073,72,127,0,0
32073,51,18,0,0
32073,52,75,0,0
32073,23,109,0,0
32073,62,249,0,0
32073,53,81,0,0
32073,54,137,0,0
32073,55,5,0,0
32079,00,8,203,5421
32079,81,3,0,0
32079,62,3,0,0
32080,00,681,4726,144684
32080,42,17,0,0
32080,81,49,0,0
32080,56,33,0,0
32080,61,7,0,0
32080,71,21,0,0
32080,72,99,0,0
32080,51,7,0,0
32080,52,36,0,0
32080,23,63,0,0
32080,62,68,0,0
32080,53,83,0,0
32080,54,104,0,0
32081,00,242,1427,57645
32081,42,11,0,0
32081,81,22,0,0
32081,56,12,0,0
32081,61,4,0,0
32081,72,15,0,0
32081,51,5,0,0
32081,52,17,0,0
32081,23,18,0,0
32081,62,27,0,0
32081,53,15,0,0
32081,54,54,0,0
32081,55,3,0,0
32082,00,1162,10867,608052
32082,42,57,0,0
32082,81,102,0,0
32082,56,80,0,0
32082,61,15,0,0
32082,71,30,0,0
32082,72,59,0,0
32082,51,12,0,0
32082,52,130,0,0
32082,23,60,0,0
32082,62,137,0,0
32082,53,107,0,0
32082,54,244,0,0
32082,55,10,0,0
32083,00,6,48,1393
32084,00,1257,15383,442057
32084,42,34,0,0
32084,81,122,0,0
32084,56,46,0,0
32084,61,17,0,0
32084,71,33,0,0
32084,72,219,0,0
32084,51,18,0,0
32084,52,51,0,0
32084,22,3,0,0
32084,23,96,0,0
32084,62,74,0,0
32084,53,59,0,0
32084,54,131,0,0
32085,00,38,336,9564
32085,42,3,0,0
32085,81,4,0,0
32085,72,4,0,0
32085,23,3,0,0
32085,62,5,0,0
32085,53,4,0,0
32086,00,895,12089,438869
32086,42,25,0,0
32086,81,67,0,0
32086,56,59,0,0
32086,61,9,0,0
32086,71,6,0,0
32086,72,65,0,0
32086,51,13,0,0
32086,52,48,0,0
32086,23,106,0,0
32086,62,180,0,0
32086,53,55,0,0
32086,54,85,0,0
32086,55,3,0,0
32087,00,34,306,11425
32087,81,6,0,0
32087,56,5,0,0
32087,23,5,0,0
32091,00,339,3833,124478
32091,42,10,0,0
32091,81,45,0,0
32091,56,15,0,0
32091,61,3,0,0
32091,71,6,0,0
32091,72,35,0,0
32091,51,7,0,0
32091,52,18,0,0
32091,23,27,0,0
32091,62,37,0,0
32091,53,17,0,0
32091,54,31,0,0
32092,00,692,7148,266955
32092,42,29,0,0
32092,81,45,0,0
32092,56,70,0,0
32092,61,8,0,0
32092,71,12,0,0
32092,72,57,0,0
32092,51,5,0,0
32092,52,38,0,0
32092,11,5,0,0
32092,23,80,0,0
32092,62,54,0,0
32092,53,36,0,0
32092,54,103,0,0
32092,55,3,0,0
32094,00,28,108,3998
32094,81,5,0,0
32094,23,5,0,0
32095,00,363,3537,148114
32095,42,16,0,0
32095,81,26,0,0
32095,56,34,0,0
32095,61,18,0,0
32095,72,18,0,0
32095,51,6,0,0
32095,52,12,0,0
32095,23,47,0,0
32095,62,19,0,0
32095,53,22,0,0
32095,54,68,0,0
32096,00,34,798,57838
32096,81,4,0,0
32096,72,5,0,0
32096,11,3,0,0
32097,00,336,3588,108509
32097,42,4,0,0
32097,81,41,0,0
32097,56,22,0,0
32097,61,6,0,0
32097,71,6,0,0
32097,72,36,0,0
32097,51,4,0,0
32097,52,10,0,0
32097,23,60,0,0
32097,62,29,0,0
32097,53,14,0,0
32097,54,19,0,0
32099,00,12,406,31552
32099,51,3,0,0
32102,00,45,337,7786
32102,81,3,0,0
32102,72,12,0,0
32102,23,7,0,0
32105,00,5,57,1456
32110,00,357,2305,80162
32110,42,14,0,0
32110,81,51,0,0
32110,56,29,0,0
32110,71,6,0,0
32110,72,23,0,0
32110,51,4,0,0
32110,52,14,0,0
32110,23,70,0,0
32110,62,28,0,0
32110,53,8,0,0
32110,54,18,0,0
32110,55,3,0,0
32111,00,8,279,15540
32112,00,110,805,17864
32112,42,3,0,0
32112,81,14,0,0
32112,56,4,0,0
32112,61,3,0,0
32112,72,10,0,0
32112,51,3,0,0
32112,52,5,0,0
32112,23,14,0,0
32112,62,12,0,0
32112,53,5,0,0
32112,54,7,0,0
32113,00,63,433,11462
32113,81,6,0,0
32113,56,7,0,0
32113,23,10,0,0
32113,62,7,0,0
32113,54,3,0,0
32114,00,1371,29588,1250504
32114,42,45,0,0
32114,81,112,0,0
32114,56,50,0,0
32114,61,16,0,0
32114,71,28,0,0
32114,72,162,0,0
32114,51,39,0,0
32114,52,73,0,0
32114,22,6,0,0
32114,23,65,0,0
32114,62,172,0,0
32114,53,74,0,0
32114,54,167,0,0
32114,55,9,0,0
32115,00,17,56,2277
32115,23,3,0,0
32115,54,3,0,0
32117,00,879,13811,586146
32117,42,65,0,0
32117,81,82,0,0
32117,56,43,0,0
32117,61,4,0,0
32117,71,10,0,0
32117,72,53,0,0
32117,51,15,0,0
32117,52,43,0,0
32117,23,104,0,0
32117,62,105,0,0
32117,53,36,0,0
32117,54,53,0,0
32117,55,10,0,0
32118,00,662,7048,157974
32118,42,4,0,0
32118,81,90,0,0
32118,56,29,0,0
32118,71,15,0,0
32118,72,147,0,0
32118,51,7,0,0
32118,52,27,0,0
32118,23,20,0,0
32118,62,32,0,0
32118,53,55,0,0
32118,54,105,0,0
32119,00,583,5423,179961
32119,42,22,0,0
32119,81,67,0,0
32119,56,37,0,0
32119,61,10,0,0
32119,71,15,0,0
32119,72,48,0,0
32119,51,7,0,0
32119,52,28,0,0
32119,23,70,0,0
32119,62,67,0,0
32119,53,43,0,0
32119,54,54,0,0
32119,55,3,0,0
32120,00,10,1152,10765
32120,81,3,0,0
32124,00,128,3041,167456
32124,42,7,0,0
32124,81,25,0,0
32124,56,6,0,0
32124,61,3,0,0
32124,72,6,0,0
32124,52,4,0,0
32124,23,10,0,0
32124,62,8,0,0
32124,53,8,0,0
32124,54,9,0,0
32127,00,792,7883,237068
32127,42,26,0,0
32127,81,80,0,0
32127,56,65,0,0
32127,61,6,0,0
32127,71,14,0,0
32127,72,76,0,0
32127,51,8,0,0
32127,52,36,0,0
32127,23,94,0,0
32127,62,102,0,0
32127,53,69,0,0
32127,54,70,0,0
32128,00,324,2634,68549
32128,42,14,0,0
32128,81,35,0,0
32128,56,24,0,0
32128,61,6,0,0
32128,71,5,0,0
32128,72,26,0,0
32128,51,5,0,0
32128,52,14,0,0
32128,23,33,0,0
32128,62,21,0,0
32128,53,33,0,0
32128,54,51,0,0
32129,00,403,2718,86612
32129,42,7,0,0
32129,81,42,0,0
32129,56,37,0,0
32129,61,6,0,0
32129,71,7,0,0
32129,72,31,0,0
32129,51,4,0,0
32129,52,22,0,0
32129,23,46,0,0
32129,62,63,0,0
32129,53,24,0,0
32129,54,39,0,0
32130,00,91,774,24940
32130,81,8,0,0
32130,56,18,0,0
32130,71,3,0,0
32130,72,5,0,0
32130,52,4,0,0
32130,23,18,0,0
32130,53,4,0,0
32130,54,7,0,0
32131,00,81,600,13985
32131,81,12,0,0
32131,56,3,0,0
32131,72,9,0,0
32131,52,4,0,0
32131,23,15,0,0
32131,53,4,0,0
32131,54,4,0,0
32132,00,233,2134,75974
32132,42,4,0,0
32132,81,36,0,0
32132,56,12,0,0
32132,61,3,0,0
32132,72,11,0,0
32132,51,3,0,0
32132,52,9,0,0
32132,23,43,0,0
32132,62,20,0,0
32132,53,11,0,0
32132,54,14,0,0
32133,00,5,32,731
32133,62,3,0,0
32134,00,68,311,8494
32134,81,10,0,0
32134,56,4,0,0
32134,71,3,0,0
32134,72,9,0,0
32134,23,14,0,0
32134,62,3,0,0
32134,53,4,0,0
32135,00,18,55,1505
32135,81,6,0,0
32135,23,3,0,0
32135,54,3,0,0
32136,00,238,2359,64942
32136,42,5,0,0
32136,81,32,0,0
32136,56,19,0,0
32136,61,5,0,0
32136,72,43,0,0
32136,52,11,0,0
32136,23,24,0,0
32136,62,8,0,0
32136,53,30,0,0
32136,54,32,0,0
32137,00,1010,8143,254318
32137,42,34,0,0
32137,81,85,0,0
32137,56,77,0,0
32137,61,7,0,0
32137,71,15,0,0
32137,72,82,0,0
32137,51,17,0,0
32137,52,67,0,0
32137,23,114,0,0
32137,62,123,0,0
32137,53,84,0,0
32137,54,123,0,0
32138,00,5,38,1642
32139,00,5,9,85
32140,00,16,255,6360
32140,81,4,0,0
32140,56,3,0,0
32141,00,197,1968,76116
32141,42,7,0,0
32141,81,13,0,0
32141,56,19,0,0
32141,72,16,0,0
32141,52,11,0,0
32141,23,41,0,0
32141,62,12,0,0
32141,53,8,0,0
32141,54,16,0,0
32145,00,61,297,10775
32145,42,7,0,0
32145,81,11,0,0
32145,56,4,0,0
32145,52,3,0,0
32145,23,11,0,0
32145,54,4,0,0
32147,00,12,72,2196
32147,81,3,0,0
32148,00,89,613,12658
32148,81,8,0,0
32148,56,4,0,0
32148,72,8,0,0
32148,23,15,0,0
32148,62,9,0,0
32148,53,6,0,0
32148,54,6,0,0
32157,00,5,9,97
32158,00,9,40,2222
32158,56,3,0,0
32159,00,639,11002,350579
32159,42,10,0,0
32159,81,52,0,0
32159,56,38,0,0
32159,61,7,0,0
32159,71,8,0,0
32159,72,62,0,0
32159,51,10,0,0
32159,52,50,0,0
32159,23,43,0,0
32159,62,133,0,0
32159,53,37,0,0
32159,54,44,0,0
32162,00,468,6577,225787
32162,42,7,0,0
32162,81,20,0,0
32162,56,16,0,0
32162,61,4,0,0
32162,71,8,0,0
32162,72,50,0,0
32162,51,5,0,0
32162,52,50,0,0
32162,23,13,0,0
32162,62,90,0,0
32162,53,52,0,0
32162,54,71,0,0
32163,00,144,2604,94621
32163,42,10,0,0
32163,81,7,0,0
32163,72,12,0,0
32163,51,3,0,0
32163,52,20,0,0
32163,23,7,0,0
32163,62,14,0,0
32163,53,17,0,0
32163,54,29,0,0
32164,00,525,6200,219753
32164,42,11,0,0
32164,81,32,0,0
32164,56,52,0,0
32164,61,9,0,0
32164,71,10,0,0
32164,72,34,0,0
32164,51,8,0,0
32164,52,25,0,0
32164,23,107,0,0
32164,62,68,0,0
32164,53,43,0,0
32164,54,45,0,0
32168,00,786,6493,215664
32168,42,18,0,0
32168,81,74,0,0
32168,56,63,0,0
32168,61,8,0,0
32168,71,24,0,0
32168,72,62,0,0
32168,51,13,0,0
32168,52,43,0,0
32168,23,105,0,0
32168,62,92,0,0
32168,53,42,0,0
32168,54,88,0,0
32169,00,396,3077,79983
32169,42,11,0,0
32169,81,62,0,0
32169,56,14,0,0
32169,61,3,0,0
32169,71,8,0,0
32169,72,60,0,0
32169,51,7,0,0
32169,52,27,0,0
32169,23,34,0,0
32169,62,22,0,0
32169,53,38,0,0
32169,54,48,0,0
32170,00,8,22,457
32173,00,12,18,560
32174,00,1615,16073,649330
32174,42,58,0,0
32174,81,127,0,0
32174,56,127,0,0
32174,61,18,0,0
32174,71,23,0,0
32174,72,111,0,0
32174,51,25,0,0
32174,52,106,0,0
32174,22,4,0,0
32174,23,209,0,0
32174,62,227,0,0
32174,53,92,0,0
32174,54,187,0,0
32175,00,12,127,1360
32175,56,3,0,0
32175,23,3,0,0
32176,00,365,2867,90869
32176,42,8,0,0
32176,81,53,0,0
32176,56,24,0,0
32176,61,4,0,0
32176,71,14,0,0
32176,72,49,0,0
32176,52,25,0,0
32176,23,18,0,0
32176,62,34,0,0
32176,53,28,0,0
32176,54,60,0,0
32177,00,679,9014,333104
32177,42,17,0,0
32177,81,90,0,0
32177,56,41,0,0
32177,61,9,0,0
32177,71,6,0,0
32177,72,48,0,0
32177,51,15,0,0
32177,52,38,0,0
32177,11,6,0,0
32177,22,4,0,0
32177,23,56,0,0
32177,62,117,0,0
32177,53,20,0,0
32177,54,43,0,0
32178,00,22,195,6163
32178,81,7,0,0
32178,62,7,0,0
32179,00,81,451,13960
32179,81,5,0,0
32179,56,4,0,0
32179,72,7,0,0
32179,52,3,0,0
32179,23,22,0,0
32179,62,3,0,0
32179,53,6,0,0
32179,54,5,0,0
32180,00,62,275,7466
32180,42,7,0,0
32180,81,11,0,0
32180,56,4,0,0
32180,72,3,0,0
32180,23,10,0,0
32180,62,4,0,0
32180,54,4,0,0
32181,00,31,95,2628
32181,81,3,0,0
32181,56,6,0,0
32181,23,7,0,0
32182,00,15,32,1196
32182,72,3,0,0
32182,23,4,0,0
32187,00,37,148,3077
32187,81,4,0,0
32187,72,3,0,0
32187,23,9,0,0
32187,54,5,0,0
32189,00,25,89,1673
32189,81,5,0,0
32189,72,5,0,0
32189,23,7,0,0
32190,00,17,224,4457
32190,42,3,0,0
32190,23,4,0,0
32190,62,3,0,0
32192,00,8,90,2969
32193,00,25,86,1970
32193,81,3,0,0
32193,72,3,0,0
32193,23,4,0,0
32193,54,3,0,0
32195,00,65,282,6794
32195,81,6,0,0
32195,56,7,0,0
32195,23,16,0,0
32195,53,9,0,0
32195,54,5,0,0
32201,00,13,1688,76880
32201,54,3,0,0
32202,00,892,23205,1843674
32202,42,15,0,0
32202,81,68,0,0
32202,56,60,0,0
32202,61,8,0,0
32202,71,20,0,0
32202,72,79,0,0
32202,51,29,0,0
32202,52,114,0,0
32202,23,23,0,0
32202,62,39,0,0
32202,53,60,0,0
32202,54,298,0,0
32202,55,11,0,0
32203,00,35,488,24424
32203,42,3,0,0
32203,81,3,0,0
32203,56,5,0,0
32203,53,6,0,0
32203,54,5,0,0
32204,00,771,20797,1420987
32204,42,38,0,0
32204,81,77,0,0
32204,56,23,0,0
32204,61,6,0,0
32204,71,11,0,0
32204,72,66,0,0
32204,51,23,0,0
32204,52,37,0,0
32204,23,43,0,0
32204,62,196,0,0
32204,53,39,0,0
32204,54,109,0,0
32204,55,12,0,0
32205,00,801,11463,406121
32205,42,30,0,0
32205,81,102,0,0
32205,56,42,0,0
32205,61,10,0,0
32205,71,11,0,0
32205,72,95,0,0
32205,51,15,0,0
32205,52,39,0,0
32205,23,59,0,0
32205,62,74,0,0
32205,53,56,0,0
32205,54,64,0,0
32205,55,7,0,0
32206,00,438,6055,299803
32206,42,40,0,0
32206,81,73,0,0
32206,56,21,0,0
32206,71,4,0,0
32206,72,24,0,0
32206,52,17,0,0
32206,23,39,0,0
32206,62,44,0,0
32206,53,12,0,0
32206,54,22,0,0
32206,55,3,0,0
32207,00,1769,33802,1820713
32207,42,110,0,0
32207,81,157,0,0
32207,56,99,0,0
32207,61,22,0,0
32207,71,20,0,0
32207,72,123,0,0
32207,51,28,0,0
32207,52,102,0,0
32207,23,158,0,0
32207,62,202,0,0
32207,53,95,0,0
32207,54,348,0,0
32207,55,18,0,0
32208,00,404,3591,126215
32208,42,9,0,0
32208,81,74,0,0
32208,56,19,0,0
32208,61,7,0,0
32208,71,4,0,0
32208,72,38,0,0
32208,51,3,0,0
32208,52,14,0,0
32208,23,24,0,0
32208,62,58,0,0
32208,53,17,0,0
32208,54,14,0,0
32209,00,350,13102,572306
32209,42,25,0,0
32209,81,43,0,0
32209,56,17,0,0
32209,61,4,0,0
32209,71,3,0,0
32209,72,41,0,0
32209,51,3,0,0
32209,52,9,0,0
32209,23,19,0,0
32209,62,44,0,0
32209,53,17,0,0
32209,54,11,0,0
32210,00,1236,13052,445971
32210,42,20,0,0
32210,81,155,0,0
32210,56,54,0,0
32210,61,20,0,0
32210,71,21,0,0
32210,72,112,0,0
32210,51,16,0,0
32210,52,75,0,0
32210,23,129,0,0
32210,62,144,0,0
32210,53,77,0,0
32210,54,118,0,0
32210,55,4,0,0
32211,00,670,6690,226715
32211,42,19,0,0
32211,81,93,0,0
32211,56,54,0,0
32211,61,15,0,0
32211,71,7,0,0
32211,72,43,0,0
32211,51,9,0,0
32211,52,38,0,0
32211,23,96,0,0
32211,62,54,0,0
32211,53,34,0,0
32211,54,59,0,0
32212,00,61,699,34107
32212,56,4,0,0
32212,72,3,0,0
32212,62,5,0,0
32212,54,30,0,0
32214,00,11,0,0
32214,54,6,0,0
32216,00,1808,34838,1645171
32216,42,77,0,0
32216,81,121,0,0
32216,56,141,0,0
32216,61,25,0,0
32216,71,10,0,0
32216,72,151,0,0
32216,51,41,0,0
32216,52,122,0,0
32216,23,138,0,0
32216,62,369,0,0
32216,53,99,0,0
32216,54,227,0,0
32216,55,23,0,0
32217,00,729,6797,230661
32217,42,19,0,0
32217,81,54,0,0
32217,56,33,0,0
32217,61,12,0,0
32217,71,14,0,0
32217,72,52,0,0
32217,51,13,0,0
32217,52,59,0,0
32217,23,80,0,0
32217,62,91,0,0
32217,53,36,0,0
32217,54,124,0,0
32218,00,1146,21292,811051
32218,42,44,0,0
32218,81,121,0,0
32218,56,57,0,0
32218,61,16,0,0
32218,71,10,0,0
32218,72,145,0,0
32218,51,18,0,0
32218,52,44,0,0
32218,23,105,0,0
32218,62,110,0,0
32218,53,46,0,0
32218,54,66,0,0
32218,55,11,0,0
32219,00,271,10131,413031
32219,42,44,0,0
32219,81,28,0,0
32219,56,20,0,0
32219,71,3,0,0
32219,72,13,0,0
32219,52,3,0,0
32219,23,26,0,0
32219,62,6,0,0
32219,53,7,0,0
32219,54,7,0,0
32219,55,3,0,0
32220,00,250,4015,171856
32220,42,29,0,0
32220,81,26,0,0
32220,56,25,0,0
32220,72,7,0,0
32220,52,3,0,0
32220,23,53,0,0
32220,62,5,0,0
32220,53,11,0,0
32220,54,9,0,0
32221,00,360,5861,214357
32221,42,10,0,0
32221,81,36,0,0
32221,56,25,0,0
32221,61,3,0,0
32221,72,34,0,0
32221,51,4,0,0
32221,52,20,0,0
32221,23,47,0,0
32221,62,32,0,0
32221,53,18,0,0
32221,54,43,0,0
32222,00,170,2088,45962
32222,81,20,0,0
32222,56,14,0,0
32222,61,3,0,0
32222,72,17,0,0
32222,51,5,0,0
32222,52,12,0,0
32222,23,18,0,0
32222,62,10,0,0
32222,53,5,0,0
32222,54,8,0,0
32223,00,808,7465,240475
32223,42,25,0,0
32223,81,82,0,0
32223,56,45,0,0
32223,61,19,0,0
32223,71,11,0,0
32223,72,65,0,0
32223,51,14,0,0
32223,52,50,0,0
32223,23,86,0,0
32223,62,100,0,0
32223,53,61,0,0
32223,54,122,0,0
32223,55,5,0,0
32224,00,900,14631,714199
32224,42,41,0,0
32224,81,65,0,0
32224,56,65,0,0
32224,61,14,0,0
32224,71,24,0,0
32224,72,85,0,0
32224,51,29,0,0
32224,52,71,0,0
32224,23,100,0,0
32224,62,101,0,0
32224,53,50,0,0
32224,54,147,0,0
32224,55,6,0,0
32225,00,1303,18846,790912
32225,42,28,0,0
32225,81,121,0,0
32225,56,106,0,0
32225,61,28,0,0
32225,71,18,0,0
32225,72,130,0,0
32225,51,26,0,0
32225,52,60,0,0
32225,23,131,0,0
32225,62,109,0,0
32225,53,95,0,0
32225,54,128,0,0
32225,55,16,0,0
32226,00,348,7232,306011
32226,42,25,0,0
32226,81,33,0,0
32226,56,26,0,0
32226,71,3,0,0
32226,72,17,0,0
32226,52,7,0,0
32226,11,3,0,0
32226,23,70,0,0
32226,62,15,0,0
32226,53,14,0,0
32226,54,30,0,0
32226,55,4,0,0
32228,00,42,867,51373
32228,72,4,0,0
32228,54,27,0,0
32229,00,11,327,10706
32229,54,3,0,0
32233,00,556,4959,163888
32233,42,17,0,0
32233,81,45,0,0
32233,56,54,0,0
32233,61,3,0,0
32233,71,15,0,0
32233,72,56,0,0
32233,51,4,0,0
32233,52,23,0,0
32233,23,58,0,0
32233,62,51,0,0
32233,53,45,0,0
32233,54,85,0,0
32234,00,103,1843,82646
32234,42,4,0,0
32234,81,16,0,0
32234,56,13,0,0
32234,72,6,0,0
32234,51,3,0,0
32234,11,6,0,0
32234,23,21,0,0
32234,54,7,0,0
32235,00,8,63,2858
32236,00,15,1056,46511
32236,81,3,0,0
32236,56,3,0,0
32238,00,6,56,1306
32238,23,3,0,0
32239,00,5,5,100
32240,00,14,330,9873
32240,23,4,0,0
32241,00,24,81,3255
32241,56,5,0,0
32241,23,4,0,0
32241,54,3,0,0
32244,00,620,8516,290590
32244,42,14,0,0
32244,81,75,0,0
32244,56,42,0,0
32244,61,5,0,0
32244,71,8,0,0
32244,72,62,0,0
32244,51,10,0,0
32244,52,27,0,0
32244,23,83,0,0
32244,62,59,0,0
32244,53,31,0,0
32244,54,34,0,0
32244,55,3,0,0
32245,00,15,204,9971
32245,23,3,0,0
32246,00,1280,21987,1022471
32246,42,32,0,0
32246,81,110,0,0
32246,56,107,0,0
32246,61,15,0,0
32246,71,20,0,0
32246,72,142,0,0
32246,51,13,0,0
32246,52,97,0,0
32246,23,154,0,0
32246,62,70,0,0
32246,53,53,0,0
32246,54,97,0,0
32246,55,6,0,0
32247,00,7,216,6188
32250,00,1554,14559,582755
32250,42,47,0,0
32250,81,154,0,0
32250,56,92,0,0
32250,61,33,0,0
32250,71,33,0,0
32250,72,148,0,0
32250,51,30,0,0
32250,52,90,0,0
32250,23,143,0,0
32250,62,213,0,0
32250,53,118,0,0
32250,54,244,0,0
32254,00,677,14703,672358
32254,42,148,0,0
32254,81,72,0,0
32254,56,28,0,0
32254,61,4,0,0
32254,71,7,0,0
32254,72,28,0,0
32254,51,4,0,0
32254,52,8,0,0
32254,23,72,0,0
32254,62,27,0,0
32254,53,16,0,0
32254,54,8,0,0
32254,55,6,0,0
32255,00,6,0,0
32256,00,2568,70838,4210402
32256,99,3,0,0
32256,42,177,0,0
32256,81,129,0,0
32256,56,207,0,0
32256,61,29,0,0
32256,71,24,0,0
32256,72,204,0,0
32256,51,69,0,0
32256,52,282,0,0
32256,23,159,0,0
32256,62,271,0,0
32256,53,167,0,0
32256,54,406,0,0
